2018/05/25-16:22:34.460000	opened log file: "/advdata/log/arm/failedtransactionslog/failedtransactions_blrocsipd101_0_87.log"
TIMESTAMP	SAK	SAK_TYPE	SESSION_ID	EVENT_TYPE	CLIENT_CONNECTION_ID	GNID	REQUEST_PROTOCOL	RESPONSE_PROTOCOL	ORIGINAL_STATUS_CODE	ORIGINAL_SUB_STATUS_CODE	FINAL_STATUS_CODE	GENERIC_STATUS_CODE	GENERIC_SUB_STATUS_CODE	ROUNDTRIP	IPAR_REQUEST_TIME	IPAR_RESPONSE_TIME	SEP_TIME
2018/05/25-16:22:43.761000	KDD440507200000996	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!4060995989499911006	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	8	1	0	7
2018/05/25-16:22:43.812000	KDD440507200000996_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!6322982301037646021	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	44	1	1	42
2018/05/25-16:22:43.830000	KDD440507200000996_1	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!1330904218035646313	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
2018/05/25-16:22:43.854000	440507200000996	1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!2235072610186295353	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:5-172.168.122.49:22967-->>172.168.122.45:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:44.061000	440517100081024	1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!4828440823488537591	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:44.763000	KDD440507200000997	-1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!1497275769870490037	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:45.063000	440517100081025	1	!@#172.168.126.49:9997<<--172.168.128.52:27946&TV!-TMAF-1.0#@!94841554835442174	EVENT	172.168.126.49:9997<<--172.168.128.52:27946&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	1	10
2018/05/25-16:22:45.572000	KDD440507200000997_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!4283440705094931517	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:45.595000	KDD440507200000997_1	-1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!6258894868502382542	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:6-172.168.122.49:33856-->>172.168.122.46:9882	TMAF	TMAF	16000	0	16000	2	0	15	1	0	14
2018/05/25-16:22:45.619000	440507200000997	1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!1705006837739886276	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	14	2	1	11
2018/05/25-16:22:45.782000	KDD7200701031	-1	!@#172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0#@!3853728566143285119	EVENT	172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:45.816000	KDD440507200000998_1	5	!@#172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0#@!1017764434779141116	EVENT	172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
2018/05/25-16:22:45.838000	KDD440507200000998_1	-1	!@#172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0#@!8941788011815701742	EVENT	172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	14	1	1	12
2018/05/25-16:22:46.795000	KDD440507200000999_1	5	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!6401409510253505877	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	1	10
2018/05/25-16:22:46.817000	KDD440507200000999_1	-1	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!1412267142038260413	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	13	1	1	12
2018/05/25-16:22:46.861000	KDD7200701032	-1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!6758371111912963455	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:3-172.168.122.49:24176-->>172.168.122.43:9882	TMAF	TMAF	16000	0	16000	2	0	87	1	1	85
2018/05/25-16:22:47.108000	440517100081027	1	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!2430302770165516804	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	56	1	0	55
2018/05/25-16:22:47.768000	KDD440507200001000	-1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!6499061130604685837	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:2-172.168.122.49:34523-->>172.168.122.42:9882	TMAF	TMAF	16000	0	16000	2	0	10	2	0	8
2018/05/25-16:22:47.790000	KDD440507200001000_1	5	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!3007098165256039083	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
2018/05/25-16:22:47.828000	440507200001000	1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!3363006281145530987	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	10	2	0	8
2018/05/25-16:22:48.061000	440517100081028	1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!5669573958812927343	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:5-172.168.122.49:22967-->>172.168.122.45:9882	TMAF	TMAF	16000	0	16000	2	0	13	1	1	11
2018/05/25-16:22:48.785000	KDD7200701034	-1	!@#172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0#@!1981435686804644293	EVENT	172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0	FarmConnection-GNId:1:3-172.168.122.49:24176-->>172.168.122.43:9882	TMAF	TMAF	16000	0	16000	2	0	13	1	0	12
2018/05/25-16:22:49.768000	KDD440507200001002	-1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!3860659017179981251	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	1	10
2018/05/25-16:22:50.062000	440517100081030	1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!8972316516510787991	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	0	11
2018/05/25-16:22:50.292000	440507200001002	1	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!1994199109982151749	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	0	11
2018/05/25-16:22:50.770000	KDD440507200001003	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!1957886674578229077	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	1	8
2018/05/25-16:22:50.790000	KDD440507200001003_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!8761476394085317376	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:2-172.168.122.49:34523-->>172.168.122.42:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:50.812000	KDD440507200001003_1	-1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!4892596120106211045	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	14	1	0	13
2018/05/25-16:22:50.841000	440507200001003	1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!4330990028050192821	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:51.770000	KDD440507200001004	-1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!935397181694294402	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	0	11
2018/05/25-16:22:51.788000	KDD440507200001004_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!3878401427770115615	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:5-172.168.122.49:22967-->>172.168.122.45:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	1	9
2018/05/25-16:22:51.806000	KDD440507200001004_1	-1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!8171106618060784910	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:6-172.168.122.49:33856-->>172.168.122.46:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:51.830000	440507200001004	1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!4404080011771650350	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:52.057000	440517100081032	1	!@#172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0#@!654063890595498796	EVENT	172.168.126.49:9997<<--172.168.128.51:31130&TV!-TMAF-1.0	FarmConnection-GNId:1:3-172.168.122.49:24176-->>172.168.122.43:9882	TMAF	TMAF	16000	0	16000	2	0	10	2	1	7
2018/05/25-16:22:52.788000	KDD440507200001005_1	5	!@#172.168.126.49:9997<<--172.168.128.52:27642&TV!-TMAF-1.0#@!5343077517103797343	EVENT	172.168.126.49:9997<<--172.168.128.52:27642&TV!-TMAF-1.0	FarmConnection-GNId:1:6-172.168.122.49:33856-->>172.168.122.46:9882	TMAF	TMAF	16000	0	16000	2	0	9	1	0	8
2018/05/25-16:22:54.764000	KDD440507200001007	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!7140646442553225420	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:54.788000	KDD440507200001007_1	5	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!2622553780633697255	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:5-172.168.122.49:22967-->>172.168.122.45:9882	TMAF	TMAF	16000	0	16000	2	0	11	2	0	9
2018/05/25-16:22:55.061000	440517100081035	1	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!4067895656208155843	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	13	3	0	10
2018/05/25-16:22:55.786000	KDD440507200001008_1	5	!@#172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0#@!6582899572965540990	EVENT	172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0	FarmConnection-GNId:1:2-172.168.122.49:34523-->>172.168.122.42:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
2018/05/25-16:22:55.788000	KDD7200701041	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!764166407779312383	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:6-172.168.122.49:33856-->>172.168.122.46:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	1	9
2018/05/25-16:22:55.810000	KDD440507200001008_1	-1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!1467601953810464869	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	17	1	0	16
2018/05/25-16:22:55.834000	440507200001008	1	!@#172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0#@!1603871687913665444	EVENT	172.168.126.49:9997<<--172.168.128.52:27636&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	11	2	1	8
2018/05/25-16:22:56.062000	440517100081036	1	!@#172.168.126.49:9997<<--172.168.128.52:27642&TV!-TMAF-1.0#@!7109814793359929568	EVENT	172.168.126.49:9997<<--172.168.128.52:27642&TV!-TMAF-1.0	FarmConnection-GNId:1:5-172.168.122.49:22967-->>172.168.122.45:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	0	11
2018/05/25-16:22:56.767000	KDD440507200001009	-1	!@#172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0#@!9198821854225965176	EVENT	172.168.126.49:9997<<--172.168.128.51:31092&TV!-TMAF-1.0	FarmConnection-GNId:1:1-172.168.122.49:55254-->>172.168.122.41:9882	TMAF	TMAF	16000	0	16000	2	0	14	2	0	12
